kind,start,end,class,src,motivo
data,96366,96370,literal_pool,,pcrel refs 1/2 words (mov.lx1)
data,96398,96402,literal_pool,,pcrel refs 1/2 words (mov.lx1)
data,96406,96410,literal_pool,,pcrel refs 1/2 words (mov.lx1)
data,96678,96682,literal_pool,,pcrel refs 1/2 words (mov.lx1)
data,96706,96710,literal_pool,,pcrel refs 1/2 words (mov.lx1)
data,96722,96726,literal_pool,,pcrel refs 1/2 words (mov.lx1)
data,96730,96734,literal_pool,,pcrel refs 1/2 words (mov.lx1)
data,96850,96854,literal_pool,,pcrel refs 1/2 words (mov.lx1)
data,96866,96872,literal_pool,,pcrel refs 1/3 words (mov.lx1)
data,97570,97574,padding,,all-zero word filler
data,97596,97600,literal_pool,,pcrel refs 1/2 words (movax1)
data,97620,97624,literal_pool,,pcrel refs 1/2 words (movax1)
data,97638,97642,literal_pool,,pcrel refs 1/2 words (mov.lx1)
data,98290,98294,literal_pool,,pcrel refs 1/2 words (mov.lx1)
data,98296,98306,jump_table,,32-bit absolute x2 (pairing+0
data,98340,98346,literal_pool,,pcrel refs 2/3 words (mov.lx2)
data,98348,98358,jump_table,,32-bit absolute x2 (pairing+0
data,98368,98378,jump_table,,32-bit absolute x2 (pairing+0
data,98380,98388,jump_table,,32-bit absolute x2 (pairing+0
data,98542,98546,padding,,all-0xFFFF filler (stray pcrel ref x1)
data,98826,98830,literal_pool,,pcrel refs 1/2 words (mov.lx1)
data,99518,99522,literal_pool,,pcrel refs 1/2 words (mov.lx1)
data,99798,99802,literal_pool,,pcrel refs 1/2 words (mov.lx1)
data,99836,99842,literal_pool,,pcrel refs 2/3 words (mov.lx2)
data,100130,100134,padding,,all-0xFFFF filler (stray pcrel ref x1)
data,100426,100430,padding,,all-0xFFFF filler (stray pcrel ref x1)
data,100440,100446,literal_pool,,pcrel refs 2/3 words (mov.lx2)
data,100658,100662,padding,,all-0xFFFF filler (stray pcrel ref x1)
data,100686,100690,literal_pool,,pcrel refs 1/2 words (mov.lx1)
data,101370,101374,padding,,all-0xFFFF filler (stray pcrel ref x1)
data,101846,101850,literal_pool,,pcrel refs 1/2 words (mov.lx1)
data,101862,101866,literal_pool,,pcrel refs 1/2 words (mov.lx1)
data,102202,102206,literal_pool,,pcrel refs 1/2 words (mov.lx1)
data,102382,102386,padding,,all-0xFFFF filler (stray pcrel ref x1)
data,102712,102716,literal_pool,,pcrel refs 1/2 words (mov.lx1)
data,102898,102902,padding,,all-0xFFFF filler (stray pcrel ref x1)
data,102906,102910,literal_pool,,pcrel refs 1/2 words (mov.lx1)
data,102916,102920,literal_pool,,pcrel refs 1/2 words (mov.lx1)
data,103294,103300,literal_pool,,pcrel refs 1/3 words (mov.lx1)
data,103306,103310,padding,,all-zero word filler
data,103686,103690,padding,,all-0xFFFF filler (stray pcrel ref x1)
data,103938,103942,padding,,all-0xFFFF filler (stray pcrel ref x1)
data,104790,104794,literal_pool,,pcrel refs 2/2 words (mov.wx2)
data,104828,104834,literal_pool,,pcrel refs 2/3 words (mov.lx2)
data,105254,105258,padding,,all-0xFFFF filler (stray pcrel ref x1)
data,105562,105566,padding,,all-0xFFFF filler (stray pcrel ref x1)
