addr_start,addr_end,word_count,class,notes
15012,15022,5,literal_pool,pcrel refs 3/5 words (mov.lx3)
15054,15058,2,literal_pool,pcrel refs 1/2 words (mov.lx1)
15108,15112,2,literal_pool,pcrel refs 1/2 words (mov.lx1)
15128,15134,3,literal_pool,pcrel refs 2/3 words (mov.lx2)
15154,15158,2,string,"ascii ""1999"" (span 202B)"
15342,15348,3,unknown_data,
15442,15448,3,literal_pool,pcrel refs 1/3 words (mov.lx1)
15450,15462,6,literal_pool,pcrel refs 3/6 words (mov.lx3)
15480,15486,3,padding,all-zero word filler
15536,15540,2,padding,all-zero word filler
15764,15770,3,literal_pool,pcrel refs 2/3 words (mov.wx1+mov.lx1)
15870,15874,2,literal_pool,pcrel refs 2/2 words (mov.wx1+mov.lx1)
15998,16002,2,padding,all-0xFFFF filler (stray pcrel ref x1)
16008,16018,5,literal_pool,pcrel refs 3/5 words (mov.lx3)
16048,16054,3,literal_pool,pcrel refs 2/3 words (mov.lx2)
16238,16246,4,literal_pool,pcrel refs 2/4 words (mov.lx2)
16248,16258,5,literal_pool,pcrel refs 3/5 words (mov.lx3)
16344,16358,7,literal_pool,pcrel refs 4/7 words (mov.lx4)
16932,16936,2,literal_pool,pcrel refs 1/2 words (mov.lx1)
17004,17038,17,jump_table,"32-bit absolute x8 (pairing+0, targets in-window code) indirect access (base loaded via pool/mova)"
17040,17066,13,jump_table,"32-bit absolute x6 (pairing+0, targets in-window code) indirect access (base loaded via pool/mova)"
17188,17196,4,jump_table,"32-bit absolute x2 (pairing+0, targets in-window code) pcrel@0x4324:mov.l,0x4328:mov.l"
17400,17412,6,jump_table,"32-bit absolute x3 (pairing+0, targets in-window code) pcrel@0x43f8:mov.l,0x43fc:mov.l,0x4400:mov.l"
17664,17668,2,literal_pool,pcrel refs 1/2 words (mov.lx1)
18216,18228,6,jump_table,"32-bit absolute x3 (pairing+0, targets in-window code) pcrel@0x4728:mov.l,0x472c:mov.l,0x4730:mov.l"
18234,18238,2,padding,all-0xFFFF filler (stray pcrel ref x1)
18628,18632,2,literal_pool,pcrel refs 1/2 words (mov.lx1)
18748,18838,45,unknown_data,
18844,18854,5,unknown_data,
18860,18870,5,unknown_data,
18876,18886,5,unknown_data,
18892,18902,5,unknown_data,
18908,18918,5,unknown_data,
18924,18934,5,unknown_data,
18940,18950,5,unknown_data,
18956,18966,5,unknown_data,
18972,18982,5,unknown_data,
18988,18998,5,unknown_data,
19004,19014,5,unknown_data,
19020,19030,5,unknown_data,
19036,19046,5,unknown_data,
19052,19062,5,unknown_data,
19068,19078,5,unknown_data,
19084,19094,5,unknown_data,
19100,19110,5,unknown_data,
