addr,name,source
0x0216D4,setPrevLoops??,ghidra-hand
0x021762,perRotorFuelCut??,ghidra-hand
0x0217B2,engineControlGetFueling,ghidra-hand
0x0218F4,crankingRelatedFunc,ghidra-hand
0x021AB6,DSCThrottleStuff?,ghidra-hand
0x021B6A,OLFueling??,ghidra-hand
0x021BB2,getFuelingSlowtask?,ghidra-hand
0x021E64,acCompressorLeadingTimingRetard,ghidra-hand
0x021F64,acCompressorTrailingTimingRetard,ghidra-hand
0x0220CC,ssvControl,ghidra-hand
0x0220D2,getSSVControl,ghidra-hand
0x0220F8,ssvControl,ghidra-hand
0x022230,throttlePlateControl_Related,ghidra-hand
0x0222DC,fpu_zero_init_routine_222DC,ghidra-hand
0x0223EC,throttlePlatePosToTorqueOutput?,ghidra-hand
0x022454,getThrottleBasedTorque_Related,ghidra-hand
0x0224B8,throttlePlateTorqueStuff,ghidra-hand
0x0224F6,evapRelated,ghidra-hand
0x022EA4,noOp,ghidra-hand
0x02326C,calculateThrottlePedalPositionMapBased,ghidra-hand
0x0233A4,calculateThrottlePlateRequest??,ghidra-hand
0x0235CC,filterThrottlePlatePosRequest,ghidra-hand
0x0237EE,updateMemPtr??,ghidra-hand
0x0237F4,getThrottleControl,ghidra-hand
0x0247C2,updateFaults???,ghidra-hand
0x024D3E,interstingFunc,ghidra-hand
0x0253CC,getAutoTransCal??,ghidra-hand
0x02572E,getEngineSpeed,ghidra-hand
0x025752,filterEngineSpeed,ghidra-hand
0x0257D6,calculatePredictedEngineSpeed?,ghidra-hand
0x025B18,setValues,ghidra-hand
0x025B36,counterFunction,ghidra-hand
0x025B40,counterFunction2,ghidra-hand
0x025C34,setValues,ghidra-hand
0x025DF4,setImmoLight??,ghidra-hand
0x025EC4,filterBatteryVoltage,ghidra-hand
0x025F98,calculateOutputforAlternator,ghidra-hand
0x026044,alternatorStuff,ghidra-hand
0x02619A,getBatteryVoltageStatus,ghidra-hand
0x026298,getAlternatorFaultStatus,ghidra-hand
0x0262DC,calculateECMOverVolt,ghidra-hand
0x026308,getAlternatorSpeedConditonal,ghidra-hand
0x026340,updateEngineRunningLessThan60Timer,ghidra-hand
0x02639A,getVehicleConditionforAlternatorControl,ghidra-hand
0x02644C,calculate12VBatteryTemperature,ghidra-hand
0x026520,calcDesiredAlternatorVoltage,ghidra-hand
0x026A94,altneratorVoltageController,ghidra-hand
0x026F48,calculateAlternatorDiagDCOutput,ghidra-hand
0x027084,setAlternatorWarningLight,ghidra-hand
0x0270EA,alternatorControlMain,ghidra-hand
