address,proposed_name,confidence,source,notes
0xffffadc6,ram_adc6,low,renames,roles: update_conditional_counter_adc8
0xffffadc8,update_conditional_counter,high,function_names+renames,fns: update_conditional_counter_adc8 (x1); roles: update_conditional_counter_adc8; cats: Sensors(x1)
0xffffadcc,firstorderfilter,medium,renames,roles: throttle_sensor_filter_calc; ctx: firstorderfilter(x1)
0xffffadd1,add16bit_saturate,medium,function_names,fns: add16bitSaturate_ADD1_ADD2 (x1); cats: Math / FPU(x1)
0xffffadd2,ram_add2,low,function_names,fns: add16bitSaturate_ADD1_ADD2 (x1); cats: Math / FPU(x1); AMBIGUOUS: single weak ref; low16 collides with ROM fn addr & no 0xffff literal in reasons
0xffffadd4,ram_add4,low,renames,roles: throttle_pedal_calc
0xffffaddc,ram_addc,low,renames,roles: sensor_snapshot_propagate_working
0xffffade8,ram_ade8,low,renames,roles: aux_input_signal_mirror_filter
0xffffadea,sensor_latch_copy,high,function_names+renames,fns: sensor_latch_copy_to_adc2_adea_ad98 (x1); roles: sensor_latch_copy_to_adc2_adea_ad98; cats: Sensors(x1)
0xffffadec,ram_adec,low,renames,roles: throttle_drive_filter_calc
0xffffadfe,ram_adfe,low,renames,roles: ram_mirror_value_copies
0xffffae2e,ram_ae2e,low,renames,roles: update_conditional_counter_adc8
0xffffae31,ram_ae31,low,renames,roles: sensor_snapshot_propagate_working
0xffffae32,ram_ae32,low,renames,roles: sensor_snapshot_propagate_working
0xffffae35,ram_ae35,low,renames,roles: throttle_drive_filter_calc
0xffffae36,first_run,medium,renames,roles: aux_input_signal_mirror_filter; ctx: first_run(x1)
0xffffae37,ram_ae37,low,renames,roles: throttle_sensor_filter_calc; throttle_pedal_calc
0xffffae38,sensor,high,function_names+renames,"fns: sensor_ae38_dtc_0f_10_monitor (x1); sensor_ae38_dtc_0f_10_monitor_b (x1); uds_mode22_get_ae38_16bit (x1); roles: uds_mode22_get_ae38_16bit; sensor_ae38_dtc_0f_10_monitor; sensor_ae38_dtc_0f_10_monitor_b; cats: Faults & DTC(x2), OBD / UDS(x1)"
0xffffae3c,ram_ae3c,low,function_names+renames,fns: float_raw_copy_9f60_ae3c_c8fa (x1); roles: float_raw_copy_9f60_ae3c_c8fa; cats: Sensors(x1); AMBIGUOUS: single weak ref; low16 collides with ROM fn addr & no 0xffff literal in reasons
0xffffae40,cond_float_store,medium,function_names+renames,"fns: cond_float_store_8794_from_ae40 (x1); fault_float_copy_ae40_cf64 (x1); roles: cond_float_store_8794_from_ae40; fault_float_copy_ae40_cf64; cats: Memory & CRC(x1), Math / FPU(x1); CAUTION: low16 also collides with a ROM function address"
0xffffae44,ram_ae44,low,function_names+renames,fns: fault_monitor_aa08_ae44 (x1); roles: fault_monitor_aa08_ae44; cats: Faults & DTC(x1); AMBIGUOUS: single weak ref; low16 collides with ROM fn addr & no 0xffff literal in reasons
0xffffae54,ram_ae54,low,renames,roles: sensor_delta_monitor_flags; boost_timer_latch
0xffffae7c,ram_ae7c,low,function_names+renames,fns: flag_word_clear_ae7c_cbe0 (x1); roles: flag_word_clear_ae7c_cbe0; cats: Boot & Init(x1); AMBIGUOUS: single weak ref; low16 collides with ROM fn addr & no 0xffff literal in reasons
0xffffae97,ram_ae97,low,renames,roles: obd_mode_state_selector
0xffffaed0,float_array_zero_fill,high,function_names+renames,fns: float_array_zero_fill_aed0_cb84 (x1); roles: float_array_zero_fill_aed0_cb84; cats: Boot & Init(x1)
0xffffaf2c,ram_af2c,low,renames,roles: fuel_rotor_charge_calc
0xffffaf30,float_array_reset,high,function_names+renames,fns: float_array_reset_af30_cb9c (x1); roles: float_array_reset_af30_cb9c; cats: Boot & Init(x1)
0xffffb000,ram_b000,low,function_names+renames,fns: float_arrays_zero_fill_b000_cbc2 (x1); roles: float_arrays_zero_fill_b000_cbc2; cats: Boot & Init(x1); AMBIGUOUS: single weak ref; low16 collides with ROM fn addr & no 0xffff literal in reasons
0xffffb0b0,ram_b0b0,low,renames,roles: fuel_rotor_charge_calc
0xffffb0d0,uds_mode22_float,high,function_names+renames,fns: uds_mode22_float_b0d0_u16_responder (x1); roles: uds_mode22_float_b0d0_u16_responder; cats: OBD / UDS(x1); ctx: converts(x1)
0xffffb126,flag_on_duration_counter,high,function_names+renames,fns: flag_on_duration_counter_b126_c184 (x1); roles: flag_on_duration_counter_b126_c184; cats: Throttle & Torque(x1)
0xffffb129,revlimit_byte_copy,high,function_names+renames,fns: revlimit_byte_copy_b129_to_c169 (x1); roles: revlimit_byte_copy_b129_to_c169; cats: Rev Limit(x1)
0xffffb12c,engine_ctrl_state,high,function_names+renames,fns: engine_ctrl_state_init_b134_b12c (x1); roles: engine_ctrl_state_init_b134_b12c; cats: Boot & Init(x1)
0xffffb134,engine_ctrl_state,high,function_names+renames,fns: engine_ctrl_state_init_b134_b12c (x1); roles: engine_ctrl_state_init_b134_b12c; cats: Boot & Init(x1)
0xffffb168,ram_b168,low,renames,roles: fuel_pressure_sensor_calc
0xffffb173,ram_b173,low,renames,roles: fuel_pressure_sensor_calc
0xffffb278,ram_b278,low,function_names+renames,fns: mul_float_b278_b27c (x1); roles: mul_float_b278_b27c; cats: Fuel & Lambda(x1); AMBIGUOUS: single weak ref; low16 collides with ROM fn addr & no 0xffff literal in reasons
0xffffb27c,ram_b27c,low,function_names+renames,fns: mul_float_b278_b27c (x1); roles: mul_float_b278_b27c; cats: Fuel & Lambda(x1); AMBIGUOUS: single weak ref; low16 collides with ROM fn addr & no 0xffff literal in reasons
0xffffb2ac,ram_b2ac,low,renames,roles: dsc_throttle_intervention_calc
0xffffb2ae,ram_b2ae,low,renames,roles: dsc_throttle_torque_limit_calc
0xffffb2b0,ram_b2b0,low,renames,roles: dsc_throttle_reduction_calc
0xffffb2c4,ram_b2c4,low,renames,roles: dsc_throttle_torque_limit_calc
0xffffb2c5,ram_b2c5,low,renames,roles: dsc_throttle_intervention_calc; dsc_throttle_reduction_calc
0xffffb2cc,ram_b2cc,low,renames,roles: cond_flag_b2e0_multi_eval
0xffffb2d5,ram_b2d5,low,renames,roles: input_byte_copy_aada_aadb
0xffffb2d6,ram_b2d6,low,renames,roles: input_byte_copy_aada_aadb
0xffffb2e0,cond_flag,high,function_names+renames,fns: cond_flag_b2e0_multi_eval (x1); roles: cond_flag_b2e0_multi_eval; cats: Fuel & Lambda(x1)
0xffffb34c,ram_b34c,low,function_names+renames,fns: obd_pid_resp_interp_b34c (x1); roles: obd_pid_resp_interp_b34c; cats: OBD / UDS(x1); AMBIGUOUS: single weak ref; low16 collides with ROM fn addr & no 0xffff literal in reasons
0xffffb354,ram_b354,low,renames,roles: evap_purge_calc
0xffffb37c,ram_b37c,low,renames,roles: evap_purge_calc
0xffffb380,ram_b380,low,renames,roles: evap_purge_calc
0xffffb390,ram_b390,low,function_names+renames,fns: accumulate_flow_b390 (x1); roles: accumulate_flow_b390; cats: Sensors(x1); AMBIGUOUS: single weak ref; low16 collides with ROM fn addr & no 0xffff literal in reasons
0xffffb3f0,ram_b3f0,low,function_names+renames,fns: set_flag_b3f0 (x1); roles: set_flag_b3f0; cats: Boot & Init(x1); AMBIGUOUS: single weak ref; low16 collides with ROM fn addr & no 0xffff literal in reasons
0xffffb450,ram_b450,low,function_names+renames,fns: gated_saturatelow_b450 (x1); roles: gated_saturatelow_b450; cats: Throttle & Torque(x1); AMBIGUOUS: single weak ref; low16 collides with ROM fn addr & no 0xffff literal in reasons
0xffffb454,ram_b454,low,function_names+renames,fns: set_dtc_enable_flag_b454 (x1); roles: set_dtc_enable_flag_b454; cats: Boot & Init(x1); AMBIGUOUS: single weak ref; low16 collides with ROM fn addr & no 0xffff literal in reasons
