bank,addr,end,src_name,source,flag,lift_name,verified,also_sources,category
60E0E500,0x005d86,0x005D90,FUN_005d86,derived,,,,,Faults & DTC
60E0E500,0x005d90,0x005DA0,FUN_005d90,derived,,,,,Faults & DTC
60E0E500,0x005da0,0x005DA6,FUN_005da0,derived,,,,,Faults & DTC
60E0E500,0x005da6,0x005DB6,FUN_005da6,derived,,,,,Faults & DTC
60E0E500,0x005db6,0x005DC6,FUN_005db6,derived,,,,,Faults & DTC
60E0E500,0x005dc6,0x005DD6,FUN_005dc6,derived,,,,,Faults & DTC
60E0E500,0x005dd6,0x005DDC,FUN_005dd6,derived,,,,,Faults & DTC
60E0E500,0x005ddc,0x005DEC,FUN_005ddc,derived,,,,,Faults & DTC
60E0E500,0x005dec,0x005DFC,FUN_005dec,derived,,,,,Faults & DTC
60E0E500,0x005dfc,0x005E0C,FUN_005dfc,derived,,,,,Faults & DTC
60E0E500,0x005e0c,0x005E12,FUN_005e0c,derived,,,,,Faults & DTC
60E0E500,0x005e12,0x005E22,FUN_005e12,derived,,,,,Faults & DTC
60E0E500,0x005e22,0x005E32,FUN_005e22,derived,,,,,Faults & DTC
60E0E500,0x005e32,0x005E42,FUN_005e32,derived,,,,,Faults & DTC
60E0E500,0x005e42,0x005E48,FUN_005e42,derived,,,,,Faults & DTC
60E0E500,0x005e48,0x005E58,FUN_005e48,derived,,,,,Faults & DTC
60E0E500,0x005e58,0x005E68,FUN_005e58,derived,,,,,Faults & DTC
60E0E500,0x005e68,0x005E78,FUN_005e68,derived,,,,,Faults & DTC
60E0E500,0x005e78,0x005EBC,FUN_005e78,derived,,,,,Faults & DTC
60E0E500,0x005ebc,0x005EC8,FUN_005ebc,derived,,,,,Faults & DTC
60E0E500,0x005ec8,0x005ECE,FUN_005ec8,derived,,,,,Faults & DTC
60E0E500,0x005ece,0x005EDE,FUN_005ece,derived,,,,,Faults & DTC
60E0E500,0x005ede,0x005EEE,FUN_005ede,derived,,,,,Faults & DTC
60E0E500,0x005eee,0x005EF4,FUN_005eee,derived,,,,,Faults & DTC
60E0E500,0x005ef4,0x005F18,FUN_005ef4,derived,,,,,Faults & DTC
60E0E500,0x005f18,0x005F1C,FUN_005f18,derived,NOISE,,,,Utilities
60E0E500,0x005f1c,0x005F36,FUN_005f1c,derived,,,,,RTOS
60E0E500,0x005f36,0x006010,FUN_005f36,derived,,,,,RTOS
60E0E500,0x006010,0x0061DA,FUN_006010,derived,,,,,RTOS
